TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
G;G;A;G;M;2;0;G;0 145 148 151 154;145 148 151 154;145 148 151 154
G;G;A;G;M;2;0;G;0 163 166 169 172;163 166 169 172;163 166 169 172
G;G;A;G;M;2;0;G;0 181 184 187 190;181 184 187 190;181 184 187 190
G;G;A;G;M;3;0;G;145 148 151 154;145 148 151 154;145 148 151 154
G;G;A;G;M;3;0;G;163 166 169 172;163 166 169 172;163 166 169 172
G;G;A;G;M;3;0;G;181 184 187 190;181 184 187 190;181 184 187 190
G;G;A;G;M;3;0;G;148 151 154 157;148 151 154 157;148 151 154 157
G;G;A;G;M;3;0;G;166 169 172 175;166 169 172 175;166 169 172 175
G;G;A;G;M;3;0;G;184 187 190 193;184 187 190 193;184 187 190 193
G;G;A;G;M;3;0;G;151 154 157 160;151 154 157 160;151 154 157 160
G;G;A;G;M;3;0;G;169 172 175 178;169 172 175 178;169 172 175 178
G;G;A;G;M;3;0;G;187 190 193 196;187 190 193 196;187 190 193 196
G;G;A;G;M;3;0;G;154 157 160 151;154 157 160 151;154 157 160 151
G;G;A;G;M;3;0;G;172 175 178 169;172 175 178 169;172 175 178 169
G;G;A;G;M;3;0;G;190 193 196 187;190 193 196 187;190 193 196 187
G;G;A;G;M;2;0;G;157 160 151 154;157 160 151 154;157 160 151 154
G;G;A;G;M;2;0;G;175 178 169 172;175 178 169 172;175 178 169 172
G;G;A;G;M;2;0;G;193 196 187 190;193 196 187 190;193 196 187 190
G;G;A;G;M;2;0;G;146 149 152 155;146 149 152 155;146 149 152 155
G;G;A;G;M;2;0;G;164 167 170 173;164 167 170 173;164 167 170 173
G;G;A;G;M;2;0;G;182 185 188 191;182 185 188 191;182 185 188 191
G;G;A;G;M;3;0;G;146 149 152 155;146 149 152 155;146 149 152 155
G;G;A;G;M;3;0;G;164 167 170 173;164 167 170 173;164 167 170 173
G;G;A;G;M;3;0;G;182 185 188 191;182 185 188 191;182 185 188 191
M;G;A;G;G;3;0;G;149 152 155 158;149 152 155 158;149 152 155 158
M;G;A;G;G;3;0;G;167 170 173 176;167 170 173 176;167 170 173 176
M;G;A;G;G;3;0;G;185 188 191 194;185 188 191 194;185 188 191 194
M;G;A;G;G;3;0;G;152 155 158 161;152 155 158 161;152 155 158 161
M;G;A;G;G;3;0;G;170 173 176 179;170 173 176 179;170 173 176 179
M;G;A;G;G;3;0;G;188 191 194 197;188 191 194 197;188 191 194 197
M;G;A;G;G;3;0;G;155 158 161 152;155 158 161 152;155 158 161 152
M;G;A;G;G;3;0;G;173 176 179 170;173 176 179 170;173 176 179 170
M;G;A;G;G;3;0;G;191 194 197 188;191 194 197 188;191 194 197 188
M;G;A;G;G;2;0;G;158 161 152 155;158 161 152 155;158 161 152 155
M;G;A;G;G;2;0;G;176 179 170 173;176 179 170 173;176 179 170 173
M;G;A;G;G;2;0;G;194 197 188 191;194 197 188 191;194 197 188 191
M;G;A;G;G;2;0;G;147 150 153 156;147 150 153 156;147 150 153 156
M;G;A;G;G;2;0;G;165 168 171 174;165 168 171 174;165 168 171 174
M;G;A;G;G;2;0;G;183 186 189 192;183 186 189 192;183 186 189 192
M;G;A;G;G;3;0;G;147 150 153 156;147 150 153 156;147 150 153 156
M;G;A;G;G;3;0;G;165 168 171 174;165 168 171 174;165 168 171 174
M;G;A;G;G;3;0;G;183 186 189 192;183 186 189 192;183 186 189 192
M;G;A;G;G;3;0;G;150 153 156 159;150 153 156 159;150 153 156 159
M;G;A;G;G;3;0;G;168 171 174 177;168 171 174 177;168 171 174 177
M;G;A;G;G;3;0;G;186 189 192 195;186 189 192 195;186 189 192 195
M;G;A;G;G;3;0;G;153 156 159 162;153 156 159 162;153 156 159 162
M;G;A;G;G;3;0;G;171 174 177 180;171 174 177 180;171 174 177 180
M;G;A;G;G;3;0;G;189 192 195 198;189 192 195 198;189 192 195 198
M;G;A;G;G;3;0;G;156 159 162 153;156 159 162 153;156 159 162 153
M;G;A;G;G;3;0;G;174 177 180 171;174 177 180 171;174 177 180 171
M;G;A;G;G;3;0;G;192 195 198 189;192 195 198 189;192 195 198 189
M;G;A;G;G;2;0;G;159 162 153 156;159 162 153 156;159 162 153 156
M;G;A;G;G;2;0;G;177 180 171 174;177 180 171 174;177 180 171 174
M;G;A;G;G;2;0;G;195 198 189 192;195 198 189 192;195 198 189 192
G;G;A;G;M;2;0;G;277 280 283 286;277 280 283 286;277 280 283 286
G;G;A;G;M;2;0;G;409 412 415 418;409 412 415 418;409 412 415 418
G;G;A;G;M;2;0;G;541 544 547 550;541 544 547 550;541 544 547 550
G;G;A;G;M;3;0;G;277 280 283 286;277 280 283 286;277 280 283 286
G;G;A;G;M;3;0;G;409 412 415 418;409 412 415 418;409 412 415 418
G;G;A;G;M;3;0;G;541 544 547 550;541 544 547 550;541 544 547 550
G;G;A;G;M;3;0;G;280 283 286 289;280 283 286 289;280 283 286 289
G;G;A;G;M;3;0;G;412 415 418 421;412 415 418 421;412 415 418 421
G;G;A;G;M;3;0;G;544 547 550 553;544 547 550 553;544 547 550 553
G;G;A;G;M;3;0;G;283 286 289 292;283 286 289 292;283 286 289 292
G;G;A;G;M;3;0;G;415 418 421 424;415 418 421 424;415 418 421 424
G;G;A;G;M;3;0;G;547 550 553 556;547 550 553 556;547 550 553 556
G;G;A;G;M;3;0;G;286 289 292 283;286 289 292 283;286 289 292 283
G;G;A;G;M;3;0;G;418 421 424 415;418 421 424 415;418 421 424 415
G;G;A;G;M;3;0;G;550 553 556 547;550 553 556 547;550 553 556 547
G;G;A;G;M;2;0;G;289 292 283 286;289 292 283 286;289 292 283 286
G;G;A;G;M;2;0;G;421 424 415 418;421 424 415 418;421 424 415 418
G;G;A;G;M;2;0;G;553 556 547 550;553 556 547 550;553 556 547 550
G;G;A;G;M;2;0;G;278 281 284 287;278 281 284 287;278 281 284 287
G;G;A;G;M;2;0;G;410 413 416 419;410 413 416 419;410 413 416 419
G;G;A;G;M;2;0;G;542 545 548 551;542 545 548 551;542 545 548 551
G;G;A;G;M;3;0;G;278 281 284 287;278 281 284 287;278 281 284 287
G;G;A;G;M;3;0;G;410 413 416 419;410 413 416 419;410 413 416 419
