TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
G;G;A;G;M;2;0;G;7 16 25 34;43 52 61 70;44 89 98 107
G;G;A;G;M;2;0;G;16 25 34 7;88 97 106 79;53 80 98 107
G;G;A;G;M;3;0;G;25 34 7 16;133 142 115 124;62 80 89 107
G;G;A;G;M;3;0;G;34 7 16 25;70 43 52 61;71 80 89 98
G;G;A;G;M;3;0;G;1 10 19 28;73 82 91 100;80 125 134 143
G;G;A;G;M;3;0;G;10 19 28 1;118 127 136 109;89 116 134 143
G;G;A;G;M;3;0;G;19 28 1 10;55 64 37 46;98 116 125 143
G;G;A;G;M;3;0;G;28 1 10 19;100 73 82 91;107 116 125 134
G;G;A;G;M;3;0;G;8 17 26 35;116 125 134 143;116 53 62 71
G;G;A;G;M;3;0;G;17 26 35 8;53 62 71 44;125 44 62 71
