TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
M;G;A;G;M;3;1;G;1 4 7 10 19 28;37 40 43 46 55 64;37 40 43 46 55 64
M;G;A;G;M;3;1;G;10 13 16 19 28 1;82 85 88 91 100;82 85 88 91 100
M;G;A;G;M;3;1;G;19 22 25 28 1 10;127 130 133 136 109;127 130 133 136 109
M;G;A;G;M;3;1;G;28 31 34 1 10 19;64 67 70 37 46;64 67 70 37 46
M;G;A;G;M;3;1;G;2 5 8 11 20 29;74 77 80 83 92;74 77 80 83 92
M;G;A;G;M;3;1;G;11 14 17 20 29 2;119 122 125 128 137;119 122 125 128 137
M;G;A;G;M;3;1;G;20 23 26 29 2 11;56 59 62 65 38;56 59 62 65 38
M;G;A;G;M;3;1;G;29 32 35 2 11 20;101 104 107 74 83;101 104 107 74 83
M;G;A;G;M;3;1;G;3 6 9 12 21 30;111 114 117 120 129;111 114 117 120 129
M;G;A;G;M;3;1;G;12 15 18 21 30 3;48 51 54 57 66;48 51 54 57 66
M;G;A;G;M;3;1;G;21 24 27 30 3 12;93 96 99 102 75;93 96 99 102 75
M;G;A;G;M;3;1;G;30 33 36 3 12 21;138 141 144 111 120;138 141 144 111 120
M;G;A;G;M;3;2;G;7 4 1 10 19 28;43 40 37 46 55;43 40 37 46 55
M;G;A;G;M;3;2;G;16 13 10 19 28 1;88 85 82 91 100;88 85 82 91 100
M;G;A;G;M;3;2;G;25 22 19 28 1 10;133 130 127 136 109;133 130 127 136 109
M;G;A;G;M;3;2;G;34 31 28 1 10 19;70 67 64 37 46;70 67 64 37 46
M;G;A;G;M;3;2;G;8 5 2 11 20 29;80 77 74 83 92;80 77 74 83 92
M;G;A;G;M;3;2;G;17 14 11 20 29 2;125 122 119 128 137;125 122 119 128 137
M;G;A;G;M;3;2;G;26 23 20 29 2 11;62 59 56 65 38;62 59 56 65 38
M;G;A;G;M;3;2;G;35 32 29 2 11 20;107 104 101 74 83;107 104 101 74 83
M;G;A;G;M;3;2;G;9 6 3 12 21 30;117 114 111 120 129;117 114 111 120 129
M;G;A;G;M;3;2;G;18 15 12 21 30 3;54 51 48 57 66;54 51 48 57 66
M;G;A;G;M;3;2;G;27 24 21 30 3 12;99 96 93 102 72;99 96 93 102 72
M;G;A;G;M;3;2;G;36 33 30 3 12 21;144 141 138 111 120;144 141 138 111 120
M;G;A;M;M;3;1;G;1 4 7 10 19 28 2 5;37 40 43 46 55 64 38;37 40 43 46 55 64 38
P;G;A;M;G;3;1;G;10 13 16 19 28 1 11 14;82 85 88 91 100 73 83;82 85 88 91 100 73 83
P;G;A;M;G;3;1;G;19 22 25 28 1 10 20 23;127 130 133 136 109 118 128;127 130 133 136 109 118 128
P;G;A;M;G;3;1;G;28 31 34 1 10 19 29 32;64 67 70 37 46 55 65;64 67 70 37 46 55 65
P;G;A;M;G;3;1;G;2 5 8 11 20 29 3 6;74 77 80 83 92 101 75;74 77 80 83 92 101 75
P;G;A;M;G;3;1;G;11 14 17 20 29 2 12 15;119 122 125 128 137 110 120;119 122 125 128 137 110 120
P;G;A;M;G;3;1;G;20 23 26 29 2 11 21 24;56 59 62 65 38 47 57;56 59 62 65 38 47 57
P;G;A;M;G;3;1;G;29 32 35 2 11 20 30 33;101 104 107 74 83 92 102;101 104 107 74 83 92 102
P;G;A;M;G;3;1;G;3 6 9 12 21 30 4 7;111 114 117 120 129 138 112;111 114 117 120 129 138 112
P;G;A;M;G;3;1;G;12 15 18 21 30 3 13 16;48 51 54 57 66 39 49;48 51 54 57 66 39 49
P;G;A;M;G;3;1;G;21 24 27 30 3 12 22 25;93 96 99 102 75 84 94;93 96 99 102 75 84 94
P;G;A;M;G;3;1;G;30 33 36 3 12 21 31 34;138 141 144 111 120 129 139;138 141 144 111 120 129 139
P;G;A;M;G;3;2;G;7 4 1 10 19 28 2 5;43 40 37 46 55 64 38;43 40 37 46 55 64 38
P;G;A;M;G;3;2;G;16 13 10 19 28 1 11 14;88 85 82 91 100 73 83;88 85 82 91 100 73 83
P;G;A;M;G;3;2;G;25 22 19 28 1 10 20 23;133 130 127 136 109 118 128;133 130 127 136 109 118 128
P;G;A;M;G;3;2;G;34 31 28 1 10 19 29 32;70 67 64 37 46 55 65;70 67 64 37 46 55 65
P;G;A;M;G;3;2;G;8 5 2 11 20 29 3 6;80 77 74 83 92 101 75;80 77 74 83 92 101 75
P;G;A;M;G;3;2;G;17 14 11 20 29 2 12 15;125 122 119 128 137 110 120;125 122 119 128 137 110 120
P;G;A;M;G;3;2;G;26 23 20 29 2 11 21 24;62 59 56 65 38 47 57;62 59 56 65 38 47 57
P;G;A;M;G;3;2;G;35 32 29 2 11 20 30 33;107 104 101 74 83 92 102;107 104 101 74 83 92 102
P;G;A;M;G;3;2;G;9 6 3 12 21 30 4 7;117 114 111 120 129 138 112;117 114 111 120 129 138 112
P;G;A;M;G;3;2;G;18 15 12 21 30 3 13 16;54 51 48 57 66 39 49;54 51 48 57 66 39 49
P;G;A;M;G;3;2;G;27 24 21 30 3 12 22 25;99 96 93 102 75 84 94;99 96 93 102 75 84 94
P;G;A;M;G;3;2;G;36 33 30 3 12 21 31 34;144 141 138 111 120 129 139;144 141 138 111 120 129 139
