# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
2;07/03/2018;15:02:19;Classificacao;3;1;3;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;3;Acertou;0;0
2;07/03/2018;15:02:26;Classificacao;3;1;3;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;3;Acertou;0;0
2;07/03/2018;15:02:30;Classificacao;3;1;3;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;GeometricosCL-Circulo-Grande-BordaPreenchida-Azul;0;Errou;0;0
2;07/03/2018;15:02:36;Classificacao;3;1;3;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;2;Acertou;0;0
2;07/03/2018;15:02:47;Classificacao;3;1;4;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;3;Acertou;0;0
2;07/03/2018;15:02:53;Classificacao;3;1;4;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;1;Acertou;0;0
2;07/03/2018;15:02:57;Classificacao;3;1;4;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;1;Acertou;0;0
2;07/03/2018;15:03:07;Classificacao;3;1;2;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaPreenchida-Azul;1;Errou;0;0
2;07/03/2018;15:03:11;Classificacao;3;1;2;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaPreenchida-Azul;0;Errou;0;0
2;07/03/2018;15:03:17;Classificacao;3;1;2;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Azul;2;Errou;0;0
2;07/03/2018;15:03:21;Classificacao;3;1;2;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL-Quadrado-Grande-BordaPreenchida-Azul;0;Errou;0;0
2;07/03/2018;15:03:25;Classificacao;3;1;2;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL-Triangulo-Grande-BordaPreenchida-Azul;0;Errou;0;0
4;07/03/2018;15:07:31;Classificacao;2;1;2;GeometricosCL-Quadrado-Grande-BordaFina-Azul;GeometricosCL-Quadrado-Grande-BordaFina-Azul;1;Acertou;0;0
